id,text,label,dataset_id
029-0000782-9,No matter what we face no matter where we go Your light will lead us through the dark we will follow,0,29
029-0001072-8,I say no that s not Melania But what is the need for a double ,1,29
029-0000735-15,Of course all of these aforementioned shows and others that are bound to pop up in opposition to him looking at you female Latino and Muslim comedians will find a way to make Trump funny again But will a man who has praised authoritarian leaders like Vladimir Putin tolerate being the target of satire ,1,29
029-0000453-0,While President Donald Trump is attempting to fulfill his campaign promise to reduce illegal immigration some young adults who were raised in America are fearing deportation ,0,29
029-0001039-0,A screencap of a CNN broadcast is making the rounds on social media tonight showing a white supremacist wearing a Hydra t shirt ,0,29
029-0000003-5,Hat off to Tunsil for this action Respecting the flag and respecting the anthem before football games are perhaps the dumbest notions floated among sports fans Sporting events are not flag worthy at all Nobody else in the world does this Further THESE ATHLETES ARE HUMAN PEOPLE Laremy Tunsil is a real person with real political beliefs and his political beliefs include black people shouldn t be killed by the police with impunity That s a pertinent thing to assert ,1,29
029-0000898-30, A musician friend of mine writes something funny maybe inadvertently so How is molto moderato not a contradiction What the hell does it mean ,1,29
029-0000973-3,The DOJ did not say whether it would pursue another trial against Cliven Bundy and others involved in the 2014 standoff according to E amp E News ,1,29
029-0000954-1,Dhimmi refers to the status of non Muslims living in an Islamic state The word literally means protected person by submission But what are they protected from The wrath of Islam It can be likened to the mobsters who collect money from people for protection Non Muslims are allowed to live in Islamic states but with many restrictions If these non Muslims behave themselves and practice their own religion under the guidelines of sharia they will not be persecuted or killed Otherwise the local imams and the religious leaders incite Muslims to harm the dhimmis ,1,29
029-0001049-15, Every piece of information we get is one more piece of the puzzle the sheriff said Monday ,0,29
029-0000520-0,The newly installed constitutional assembly led by President Nicolas Maduro has ousted Venezuela s chief prosecutor on Saturday a move that signals that the embattled government is making swift moves to consolidate power ,0,29
029-0000129-27,That interview was amazing She literally puts on a blazer and some non prescription glasses and the schmucks on this I Team just assume she s a law abiding non ratchet member of society ,1,29
029-0000880-4,In fact Hannity s entire oeuvre for much of the Trump presidency has been built around a massive all encompassing conspiracy theory That a Destroy Trump Alliance composed of the press the deep state and critics from both major political parties have united in a coordinated effort to remove the president from office based on what the Fox host deems a black helicopter tinfoil hat conspiracy theories about so called Trump Russia collusion Hannity has detailed this theory in dozens of shows warning against the depredations of the deep state and the deeply corrupt investigation by special counsel Robert Mueller ,1,29
029-0000983-8,So it must be better actually to buy American right The answer may surprise you Currently my wife and I own a small business making whole body products such as soaps shampoos laundry detergent etc mostly our products are mostly made in America ,1,29
029-0000898-15,And what was he calling himself Bernie Bernstein Interesting Wonder if the name was chosen at random Could just as easily have been John Smith right Or even Lucy Hickenlooper ,1,29
029-0000606-20, Annelize Bester July 26 2016,1,29
029-0000882-1,We consistently advise our readers to do their research but in this case Gillet needed to go beyond the terms and conditions for the cruise line She needed to know whether the company had complied with U S law The fact that she didn t cost her 528 Can we help her get it back ,1,29
029-0001228-11,The Americans who defeated fascism in wartime did not consider their comrades in arms or the united nation behind them to be fat slobs bimbos rapists murderers idiots or morons or disabled Americans worthy of being demeaned by a clown who is unfit to be a commander ,1,29
029-0000962-36,Seven members of the group Worcester Antifa short for Worcester Anti Fascist Action were arrested in February during a protest in downtown Worcester in which they blocked traffic while chanting profane slogans against police the Ku Klux Klan and fascism ,0,29
029-0001072-3, Java Girl October 18 2017,1,29
029-0001190-1, I told Luther if his opponent wins I ll be here campaigning like hell for him Trump told the Huntsville crowd referring to former Alabama Supreme Court chief justice Roy Moore He said Moore and Strange were both good men ,0,29
029-0000982-2,The law prof behind this Lawrence Lessig also claimed last December that 20 Republican members of the electoral college were considering voting against Trump In the end Trump lost two Hillary Clinton lost more Democratic electors than that And now here we are As summarized by Newsweek ,1,29
029-0000127-33,Notice the face he forgot to crop out after he screenshotted ,1,29
029-0001070-20, Accused Republicans of profiting off of the death of Americans with silence money given to them by the NRA,1,29
029-0001291-3, What makes matters worse is he was giving me tips about putting He s all I think your right hand is a little too firm Bill you re a comedian not a golfer He took money from me I paid him 5 Basically the whole visit was a disaster ,0,29
029-0000499-14,All of the deputies are fine and the investigation has been turned over to SLED Lewis said ,0,29
029-0000658-6,Now Donald Trump is coming And many establishment centrists are professing alarm There is nothing more establishment than Robert Kagan a fellow at the Brookings Institution writing an op ed in the Washington Post He begins by observing that if Trump wins his coalition will include tens of millions of Americans ,1,29
029-0000747-8,Share this article and scroll down to leave a comment below ,1,29
029-0001149-7,When I saw this I was jealous I was jealous that I didn t do this The video of Trump body slamming a CNN logo I said This is great Trump didn t do it He just retweeted it But it was clever it was funny and it illustrated once again that modern day journalism and modern day liberalism have zero sense of humor The serious outrage that this was met with is highly illustrative of just where modern day liberalism is and who they really are ,1,29
029-0000028-12,Russian state owned news channel RT has been forced to register as a foreign agent which will curtail how it carries out normal journalistic functions Sputnik another Russian state owned channel is also under investigation by US authorities over allegations of destabilizing American politics with fake news ,1,29
029-0000545-0,The Business Council of Westchester will be honoring one of its own in November ,0,29
029-0000649-0,The lobotomization of the Republican Party appeared complete last year when the same GOP paladins who had denounced Donald Trump as a lunatic trying to get ahold of nuclear weapons Marco Rubio as a bigot who was guilty of the textbook definition of a racist comment Paul Ryan and as a narcissist serial philanderer pathological liar and bully Ted Cruz nevertheless endorsed him for the most powerful position in the world ,1,29
029-0000005-23,All in all the medium term outlook is clearly bearish based on the above and based on the factors that we discussed previously and it seems that we ve been correct to be holding the short positions in metals and miners especially in silver and miners Still it seems that the vast majority of the potential that these positions have is still to be realized ,1,29
029-0000970-67,This story is developing please check back later for more information ,0,29
029-0000279-13,Bannon was discussing President Trump s decision to end the Deferred Action for Childhood Arrivals DACA program ,0,29
029-0000875-9,These are people who have been without basic life necessities for weeks and he s treating them like a PR stunt ,1,29
029-0001195-4,In February Anthony was spotted at an anti Donald Trump rally by an Associated Press reporter That led to her first in depth interview since she was acquitted ,0,29
029-0000028-22,There is simply no evidence that Russian news media were or are engaged in anything nefarious to destabilize US democracy Russian media have and do give critical news coverage If that destabilizes Washington s illicit activities in overseas wars then that s what responsible journalism should be doing To curb this journalism because it offends geopolitical interests is frankly censorship and the actions of a tyrant ,1,29
029-0000012-20,Hill on Monday had a series of Twitter exchanges with other users that involved her harshly criticizing Trump ,1,29
029-0000222-39,The first step toward fulfilling our duty is to recognize the basic fact that while it is true that the American Jewish community is in crisis the leaders of that community are in an even deeper crisis And the key to strengthening and supporting the community is to bypass its failed leadership and speak and interact directly with American Jews ,1,29
029-0000931-10,In August Donald Trump s campaign released a list of 21 judges from which he would select his nominee to succeed the late Antonin Scalia on the U S Supreme Court if he won November s Presidential election In mid January President Trump announced that he would submit the name of that nominee to the Senate on Thursday Feb 2 ,1,29
029-0001094-5, Sure you can t explain this any other way Giuliani answered First of all there never should have been an investigation there was no Russian collusion ,0,29
029-0001032-12,Looking for targets ,1,29
029-0000816-22,Latest odds from FiveThirtyEight Clinton 54 4 Trump 46 4 ,0,29
029-0000856-0,An increasing number of high profile republicans are no longer supporting Donald Trump including Glenn Beck who even considered voting for Clinton Trump Senior Campaign Advisor Sarah Huckabee Sanders joins MSNBC s Craig Melvin to discuss what Trump s tactics are with more of his supporters leaving his side ,0,29
029-0001230-3, We are not commenting on the status of a possible investigation but we can say that the allegations lack merit and there has been no violation of German law by Facebook or its employees Facebook said in a statement There is no place for hate on Facebook We work closely with partners to fight hate speech and foster counter speech ,0,29
029-0000221-12,On August 15th during another press conference at Trump Tower Trump made more comments on his previous statements backing up his original words shown below He said What about the alt left that came charging at the alt right Do they have any semblance of guilt What about the fact that they came charging with clubs in their hands ,0,29
029-0000117-4,In reality the threat here is much less about Trinidad not having a globe hopping military than that ISIS isn t making such a big deal about recruits coming to Syria anymore and is instead pressing them to launch attacks at home This is particularly problematic for the US because many Caribbean islands are popular tourist destinations and American tourists are a likely target ,0,29
029-0000681-3,On Tuesday before welcoming the Stanley Cup champion Pittsburgh Penguins Trump said he had spoken with Gov Jerry Brown and that the federal government would stand with the people of California and be there with you in this time of terrible tragedy and need ,1,29
029-0000026-12,People especially men who are in positions of power have the ability to step in and stop these stories from happening ,0,29
029-0000741-47,Angela Wilkins Labour 1985,0,29
029-0001158-39,this is USHER s Accuser her name is Quantasia Sharptonalllllllllrighty then sips tea pic twitter com CbOFT3NdJV,0,29
029-0001305-11,Want to know how meaningless the idea of the white race is What was considered white has been in fluctuation for as long as the term existed it s pretty well known that in the earlier part of the 20th century there was a good amount of racism coming from white supremacists against individuals of Italian and Irish descent And even as of recently white supremacists seem more welcoming to lighter skinned people of Hispanic descent The point is it doesn t mean anything except what racists WANT it to mean ,1,29
029-0000409-28,In terms of the threat within consider that the FBI website still features wanted posters of two fugitives Donna Borup and Elizabeth Anna Duke both members of the May 19th Communist Organization ,1,29
029-0000610-0,Hillary Clinton apparently can t escape the deep state ,0,29
029-0000459-4, The Mexican government has turned a blind eye and the war has been lost with the drugs ,1,29
029-0000601-8,But optimism right At least he didn t steal their Halloween candy ,0,29
029-0000993-26,Hill one seat Turnout 28 92 ,0,29
029-0000570-28,How good will Dak and Zeke need to be for Cowboys to make playoffs ,0,29
029-0000750-4,Colbert also noted the other elephant in the room Trump was accompanied by his wife Melania who gave a speech which seemed to borrow from one previously given by the first lady ,0,29
029-0000807-13,Immigration isn t typically the top issue for Latino voters but does rank higher among them than the overall population And Trump appears poised for a bigger loss with Latino voters than failed 2012 Republican presidential nominee Mitt Romney who infamously called for undocumented immigrants to self deport and then received only 27 percent of the Latino vote ,1,29
029-0000879-64,Your body can t transform into energy the 135 000 of calories the average person stores as fat ,1,29
029-0000584-12, Deb October 15 2016,1,29
029-0000955-19,The official White House Twitter feed is filled with even more of the maddening capitalization errors ,1,29
029-0000755-9,A similar discourse will take place all over Europe as it has already in the United Kingdom Gardiner said There s a massive homegrown terrorist threat in the U K It s also an issue in Belgium Holland Germany and across Western Europe he said This attack will up the stakes ,0,29
029-0000983-18,The challenge is recognizing how we all either can support and begin to make personal changes to impact the direction of the safety of our products It also reminds us to identify the need to accept responsibility by how our decisions may affect not only others but also animals as well Move forward with purpose ,1,29
029-0000730-8,Whenever a suspect is not cooperating that suspect places officers in danger I m not sure why this is continually challenged Safety will always be a priority for police ,0,29
029-0000410-16, ISIS ,0,29
029-0000409-21,Does he really think another in an endless series of U N resolutions will make any difference The U N is another communist front designed by a Russian agent working in our State Department by the name of Alger Hiss Have we forgotten ,1,29
029-0000980-1,The worst mass shooting in modern American history was met with immediate calls for action on gun control Monday from some Democratic lawmakers ,1,29
029-0000803-10,Watch the spot below ,0,29
029-0000658-15,The establishment centrists who denounced Edward Snowden would have to admit that if Trump is half as bad as they fear Americans will be better served knowing the scope and capabilities of NSA surveillance than living in ignorance of it Some will be forced to admit to themselves that they hope the military remains sprinkled with whistleblowers like Chelsea Manning to speak out against serious abuses ,1,29
029-0000680-4,Perhaps what they found is not surprising Sanders inspired a legion of small time contributors many of whom might not normally donate to a political campaign at all ,0,29
029-0000752-7,Van Dyke was suspended without pay after he was charged The officer s attorney Dan Herbert had previously said that Van Dyke was having trouble finding work in the aftermath of the incident ,0,29
029-0000890-0,WARNING This article contains graphic photos of the victim and video from the brutal attack on her ,0,29
029-0000861-1,Fights between Trump supporters and protesters soon broke out in front of the White House and in Times Square Reports of attacks on Muslims and people of color began to surface as only hours after the announcement putting many on edge By Wednesday night protests had spread across the nation including New York City Chicago Miami and Oakland California ,0,29
029-0000012-23,Hill added in a third tweet that Donald Trump is a bigot before going on to deride the president s supporters ,1,29
029-0000970-33,Stacee Etcheber left behind two children and her husband ,0,29
029-0000686-9,It s not just as Jessica Valenti points out that Arianne Zucker is the punchline to Trump and Bush s ugly joke It s that she is the unknowing witness to the performance of professional civility in a man who just finished arming himself with Tic Tacs in case he felt himself compelled to sexually assault her for the crime of being an attractive woman ,1,29
029-0000555-46, men women bros,0,29
029-0001249-6,Would you love to get a response like this from the President of the United States Please continue to pray for our president government and nation Thank you ,0,29
029-0000549-14,Miranda Lambert said her heart had been broken ,0,29
029-0000123-8, One thing we want to make sure of is that our officers are doing their jobs correctly We want to make sure they are treating people with respect Again I don t expect any officers to be punching bags Chief Kahley said ,0,29
029-0000182-8,It has been previously reported that the newly weds are allegedly having problems over Jennifer Aniston being jealous because of Justin s purported closeness with his The Leftovers co star Margaret Qualley ,0,29
029-0000676-4,Conceding nothing in the state Clinton has also been a frequent visitor She posed for pictures and shook hands during a surprise visit to a South Florida Caribbean American neighborhood Wednesday morning ,0,29
029-0000883-4, We recently received a letter from the legal office of Avis Italia informing us that we received a charge of 42 euros on a credit card to cover the cost of providing our rental information to the parking authority for driving in restricted Zone C in Milan he says We were entirely unaware that the Avis location was in a restricted driving zone and the Avis staff made no effort to inform us of that fact ,1,29
029-0000711-12,Two conclusions emerge from this nefarious list of accomplishments ,1,29
029-0000924-19,The guest not wavering chased after him and when Shaun stopped suddenly and turned around the two crashed and Shaun s head hit the ground hard rendering him motionless When the cops came Shaun was so drunk that he couldn t sign the misdemeanor papers and forced them to arrest him But before they could bring him to the station he needed to make a stop at the hospital first ,1,29
029-0000869-9,Senator Harry Reid D Nev a petrifying political cow dropping has accused Comey in full Joe McCarthy fashion of the same malfeasance I am writing to inform you that my office has determined that your actions may violate the Hatch Act Reid wrote to Comey In my communications with you and other top officials in the national security community it has become clear that you possess explosive information about close ties and coordination between Donald Trump his top advisors and the Russian government but you continue to resist calls to inform the public of this critical information Reid is now approximately five minutes from brandishing a list of Communists before the cameras calling for Comey s resignation ,1,29
029-0000651-15,The chiefs of the Army Navy Air Force Marines and National Guard also publicly condemned hate groups in the wake of Charlottesville They of course could not mention the commander in chief by name ,1,29
029-0001189-0,It seems there s no end to the public debate we can have about the relative weight of racism and authoritarianism that go into driving Donald Trump vs mere ego and narcissism a grinding maw of appetite and self gratification Of course we don t really have to decide It s both But today s stunt does give us some reminder of the true pecking order ,1,29
029-0000438-50,Nine years later Bill would run for president and the same people who said their state had the worst schools in America suddenly claimed they had the most improved education in America All because of how hard Hillary worked at developing different standards ,0,29
029-0000694-15,For 240 years Americans worked fought and died to get us this far We could blow it all in a day That s what I saw in this debate I hope enough of our countrymen did too ,1,29
029-0000932-5,Well Matt ISIS explicitly said it places sleeper cells in refugee population while law abiding gun owners DO NOT promise to murder Got it ,1,29
029-0000844-2,Given that the U S channels its Palestinian aid through third party United Nations organizations it s unclear how much money Trump is talking about it But in total it may exceed 700 million per year according to reports ,0,29
029-0000286-0,MAINZ Germany At least 17 ISIS militants have arrived in Europe concealed as refugees according to Germany s domestic intelligence service ,0,29
029-0000128-21,He lives the good life by cashing in his SSI check for stays at the Marriott ,1,29
029-0001024-2,A Muslim man from Saharanpur had asked Daul Iftaa on Islamic laws about eyebrow trimming and hair cutting Do Islamic laws allow my wife to go for eyebrow plucking and hair cutting the man asked Darul Iftaa ,0,29
029-0000368-7,Maher can t help but be disgusted by the allegations against his son being a terrorist that the substitute teacher at CJ Harris Elementary School made ,0,29
029-0000305-5,Brown walked away twice but came back moments later each time to continue the quarrel according to the Daily Mail ,0,29
029-0000247-0,Rose McGowan accused Harvey Weinstein of raping her on Twitter and now her public revelation has other men in Hollywood running scared There are a lot of people convinced that she s going to start naming other huge producers directors and extremely famous actors who have allegedly sexually harassed women an insider tells HollywoodLife com EXCLUSIVELY Even other victims are scared that she ll start sharing their names People are panicked Our source adds that a lot of people have come to Rose with their allegations over the years ,0,29
029-0000741-8,Kira Gabbert Conservative 2935,0,29
029-0000020-5, You see a real gulf between the reactions to any crime perpetrated by an Islamic extremist and crimes committed by white nationalists or other groups Polakow Suransky said I think that shows they re targeting a specific group rather than talking about universal values that we all share ,1,29
029-0000133-4, Dan Margolis was born in Worcester Massachusetts in 1976 In 2006 he was chair of the New York State Communist Party USA In addition he writes for the People s World covering local New York City and state issues as well as events at the United Nations He joined the Communist Party USA in 2001 ,1,29
029-0000345-11,Witnesses can be heard screaming calm down before he charges toward a female Chicago Police Department officer who is standing in the middle of the intersection She used her Taser to try and subdue the man,0,29
029-0001033-13,Copyright 2018 The Associated Press All rights reserved This material may not be published broadcast written or redistributed ,0,29
029-0000366-11,He also claimed I know nothing about the inner workings of Russia ,0,29
029-0000879-13,Some 80 percent of the tilapiasold in the U S come from fish farms in China as well as half the cod Water pollution in China is a horrible problem so any fish grown there are suspect ,1,29
029-0000457-4,NBC reporting LasVegas shooter as Stephen C Paddock who looks to be living at this address with Marilou Danley who Police are searching for pic twitter com Ib1FQMhDBC,0,29
029-0000668-4, And then Trump added Meyers who has spent days attacking Hillary Clinton for her husband s infidelities claimed that Hillary herself had probably cheated on Bill ,1,29
029-0000693-2,The honor goes to the first major moment of the debate That s where after a lengthy exchange a menacing and almost unhinged Trump threatened to put Clinton in prison should he win the White House in November Even in a campaign in which Republican crowds chant lock her up and Trump surrogates play act anti Clinton tribunals it was extraordinary and disturbing The behavior of a despot not of a president ,1,29
029-0001246-23, Ed Markey October 11 2017,0,29
029-0000542-8,Anjelica lures Adrienne into a trap ,0,29
029-0000148-2,Then there are two states that usually vote for the Republican candidate but where Hillary Clinton has actually been somewhat close in the polls Still it seems likely that these states will stay red as they have been for a long time but it s necessary for Trump to defend himself here if he wants to win the election Those states are ,0,29
029-0000555-25,steve big man in a suit of armor take that away what are you ,0,29
029-0000961-19,Both women attempt to placate this guy but he doesn t seem all that interested in listening to them At least not at first Soon though he starts to get emotional apologizing to Janel for abandoning her Janel doesn t seem to like where this conversation s going and tries to stop it but the cat slips out of the bag anyway Kimberly soon learns the same thing the team recently discovered Janel isn t her mom She s her aunt And the unsub whose name is Gabriel is Kimberly s father Quite a couple big bombshells to drop at a time like this no Gabriel soon reveals that his main reason for his killing spree is a chance to fix everything Once he s gotten rid of the men who took advantage of his sweet innocent daughter he can try and work on starting a new life with Kimberly Second chances are all well and good but in this particular case yeah thinking that s gonna be a hard sell for her buddy ,1,29
